"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
11,"Hollywood","","415 Main St.","Daytona Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:58pm","1965","415 Main St., Daytona Beach, FL",-81.0116692,29.2257147,"415 main st, daytona beach, fl 32118, usa","Geocoded"
12,"Yum Yum Tree","(Hwy 1 in Holly Hill)","703 Ridgewood","Daytona Beach","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:00am","1965","703 Ridgewood, Daytona Beach, FL",-81.0160467,29.1993388,"703 s ridgewood ave, daytona beach, fl 32114, usa","Geocoded"
13,"Elbo Room","(Fort Lauderdale Beach)","241 S Atlantic","Ft. Lauderdale","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","241 S Atlantic, Ft. Lauderdale, FL",-80.1047966,26.1194696,"241 s atlantic blvd, fort lauderdale, fl 33316, usa","Geocoded"
14,"Val's","","4003 N Andrews","Ft. Lauderdale","FL","(P) - Private club - Inquire locally to admission,(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","4003 N Andrews, Ft. Lauderdale, FL",-80.1470669,26.1760187,"4003 n andrews ave, oakland park, fl 33309, usa","Geocoded"
15,"Wine-N-Stein","","3919 S State Rd","Ft. Lauderdale","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","3919 S State Rd, Ft. Lauderdale, FL",-80.1373174,26.1224386,"fort lauderdale, fl, usa","Geocoded"
16,"Zanzibar","","214 SW 1st Ave","Ft. Lauderdale","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","214 SW 1st Ave, Ft. Lauderdale, FL",-80.1443633,26.12011,"214 sw 1st ave, fort lauderdale, fl 33301, usa","Geocoded"
17,"Calypso Lounge","","130 San Carlos","Ft. Myers","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:03am","1965","130 San Carlos, Ft. Myers, FL",-81.9553675,26.4533933,"130 san carlos blvd, fort myers beach, fl 33931, usa","Geocoded"
18,"George Washington Hotel Bar","","305 W Adams","Jacksonville","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:03am","1965","305 W Adams, Jacksonville, FL",-81.6614182,30.3288633,"305 w adams st, jacksonville, fl 32202, usa","Geocoded"
19,"Howard's","","238 W Adams","Jacksonville","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:03am","1965","238 W Adams, Jacksonville, FL",-81.6612695,30.3283807,"238 w adams st, jacksonville, fl 32202, usa","Geocoded"
20,"Waldorf Lounge","","14 E Forsythe","Jacksonville","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:03am","1965","14 E Forsythe, Jacksonville, FL",-81.657523,30.3269532,"14 e forsyth st, jacksonville, fl 32202, usa","Geocoded"
21,"Butch's","","412 Boardwalk","Jacksonville Beach","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:08am","1965","412 Boardwalk, Jacksonville Beach, FL",-81.3990801,30.365626,"boardwalk, jacksonville, fl 32233, usa","Geocoded"
23,"Candlelight","","3131 Commodore Plaza (Coral Gables)","Miami","FL","""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant","",NA,"8/13/2019 11:23pm","8/14/2019 12:08am","1965","3131 Commodore Plaza (Coral Gables), Miami, FL",-80.2441116,25.7273309,"3131 commodore plaza, miami, fl 33133, usa","Geocoded"
24,"Carnival","","137 NE 3rd Ave","Miami","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:08am","1965","137 NE 3rd Ave, Miami, FL",-80.1885924,25.7759724,"137 ne 3rd ave, miami, fl 33132, usa","Geocoded"
25,"Deluxe Club","","2800 NW 27th St","Miami","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","2800 NW 27th St, Miami, FL",-80.2417359,25.8004375,"2800 nw 27th st, miami, fl 33142, usa","Geocoded"
26,"Googie's","","5832 NW 27th Ave","Miami","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","5832 NW 27th Ave, Miami, FL",-80.2412365,25.8281587,"5832 nw 27th ave, miami, fl 33142, usa","Geocoded"
27,"Le Moon Villas","","2661 Bayshore Dr (Coral Gables)","Miami","FL","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,"8/13/2019 11:23pm","8/14/2019 12:08am","1965","2661 Bayshore Dr (Coral Gables), Miami, FL",-80.2366855,25.7309934,"2661 s bayshore dr, miami, fl 33133, usa","Geocoded"
28,"Leprechaun","","7305 Bird Rd.","Miami","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","7305 Bird Rd., Miami, FL",-80.313097,25.7333657,"7305 bird rd, miami, fl 33155, usa","Geocoded"
29,"Mermaid Room","(Back room at Vick's)","101 NE 2nd Ave","Miami","FL","(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","101 NE 2nd Ave, Miami, FL",-80.190147,25.7753737,"101 ne 2nd ave, miami, fl 33132, usa","Geocoded"
30,"Rainbow","","166 NE 2nd Ave","Miami","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","166 NE 2nd Ave, Miami, FL",-80.1904707,25.7761273,"166 ne 2nd ave, miami, fl 33132, usa","Geocoded"
31,"Roman Room","","201 NE 2nd Ave","Miami","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:09am","1965","201 NE 2nd Ave, Miami, FL",-80.190082,25.77647,"201 ne 2nd ave, miami, fl 33132, usa","Geocoded"
33,"Terminal Bar","","45 Ne 3rd","Miami","FL","(RT) - 'Raunchy types' - downtown type places - often hustlers,(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:10am","1965","45 Ne 3rd, Miami, FL",-80.1883919,25.7748378,"45 ne 3rd ave, miami, fl 33131, usa","Geocoded"
34,"Your Bar","","930 Le Jeune Rd","Miami","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:11am","1965","930 Le Jeune Rd, Miami, FL",-80.2635159,25.7631142,"930 s le jeune rd, miami, fl 33134, usa","Geocoded"
35,"Alley","(Thru parking lot in rear)","1685 Alton Rd","Miami Beach","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:13am","1965","1685 Alton Rd, Miami Beach, FL",-80.1408687,25.7917779,"1685 alton rd, miami beach, fl 33139, usa","Geocoded"
36,"Frenchie's","","1614 Alton Rd","Miami Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:13am","1965","1614 Alton Rd, Miami Beach, FL",-80.1415083,25.7895056,"1614 alton rd, miami beach, fl 33139, usa","Geocoded"
37,"Lounge","","1716 Alton Rd","Miami Beach","FL","(D) - Dancing","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:13am","1965","1716 Alton Rd, Miami Beach, FL",-80.1415936,25.7924975,"1716 alton rd, miami beach, fl 33139, usa","Geocoded"
38,"Pin Up","","2228 Park Ave","Miami Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:13am","1965","2228 Park Ave, Miami Beach, FL",-80.1303187,25.7988876,"2228 park ave, miami beach, fl 33139, usa","Geocoded"
39,"Lido","","420 Ocean Ave","Palm Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:15am","1965","420 Ocean Ave, Palm Beach, FL",-80.0333135,26.7007746,"420 s ocean blvd, palm beach, fl 33480, usa","Geocoded"
40,"San Carlos Hotel Bar","","1 Pelfox","Pensacola","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/28/2019 2:44pm","1965","1 Pelfox, Pensacola, FL",-87.2155037,30.4125785,"1 s palafox st, pensacola, fl 32502, usa","Geocoded"
41,"Trader Jon's","","511 Pelfox","Pensacola","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:15am","1965","511 Pelfox, Pensacola, FL",-87.214373,30.407141,"511 s palafox st, pensacola, fl 32501, usa","Geocoded"
42,"Ten Beach Drive","","10 Beach Dr. N","St. Petersburg","FL","(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:15am","1965","10 Beach Dr. N, St. Petersburg, FL",-82.6335459,27.7714391,"10 beach dr ne, st. petersburg, fl 33701, usa","Geocoded"
43,"Trade Winds","","233 Central Ave","St. Petersburg","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:15am","1965","233 Central Ave, St. Petersburg, FL",-82.6362919,27.7714241,"233 central ave, st. petersburg, fl 33701, usa","Geocoded"
44,"Elbo Room","","5 Blvd. of Presidents","Sarasota","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","5 Blvd. of Presidents, Sarasota, FL",-82.570512,27.308376,"boulevard of presidents, sarasota, fl 34236, usa","Geocoded"
45,"Northside Tavern","","2805 N Tamiami","Sarasota","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","2805 N Tamiami, Sarasota, FL",-82.5496894,27.3608869,"2805 n tamiami trail, sarasota, fl 34234, usa","Geocoded"
46,"Cypress Lounge","Floridian Hotel","204 N Monroe","Tallahassee","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","204 N Monroe, Tallahassee, FL",-84.2810315,30.4437529,"204 n monroe st, tallahassee, fl 32301, usa","Geocoded"
47,"Le Roc Bar","","415 N Monroe","Tallahassee","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","415 N Monroe, Tallahassee, FL",-84.2804244,30.4460538,"415 n monroe st, tallahassee, fl 32301, usa","Geocoded"
48,"Carousel","","1806 W Platt St","Tampa","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","1806 W Platt St, Tampa, FL",-82.4781736,27.9416592,"1806 w platt st, tampa, fl 33606, usa","Geocoded"
49,"Jimmy White's","","1725 W Kennedy","Tampa","FL","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","1725 W Kennedy, Tampa, FL",-82.4782191,27.9449614,"1725 w kennedy blvd, tampa, fl 33606, usa","Geocoded"
50,"Ohio","","Tampa & Polk","Tampa","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","Tampa & Polk, Tampa, FL",-82.4571776,27.950575,"tampa, fl, usa","Geocoded"
51,"Kikiki","","723 Morgan","Tampa","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","723 Morgan, Tampa, FL",-82.4564615,27.9509523,"723 n morgan st, tampa, fl 33602, usa","Geocoded"
52,"Turk","","221 Datura","West Palm Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","221 Datura, West Palm Beach, FL",-80.0515899,26.7123897,"221 datura st, west palm beach, fl 33401, usa","Geocoded"
53,"Cameo Lounge","","182 Spring NW","Atlanta","GA","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","182 Spring NW, Atlanta, GA",-84.3913504,33.764496,"182 spring st nw, atlanta, ga 30313, usa","Geocoded"
54,"Hank & Jerry's","","1006 Peachtree","Atlanta","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","1006 Peachtree, Atlanta, GA",-84.3839148,33.7827788,"1006 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
55,"Mama Mia's","","1129 Peachtree","Atlanta","GA","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","1129 Peachtree, Atlanta, GA",-84.3829954,33.7853636,"1129 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
56,"Mrs P's","Ponce de Leon Hotel","551 Ponce de Leon NE","Atlanta","GA","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","551 Ponce de Leon NE, Atlanta, GA",-84.3688679,33.7732272,"551 ponce de leon ave ne, atlanta, ga 30308, usa","Geocoded"
57,"Petite Lounge","Dinkler Plaza Hotel","Forsyth & Luckie Sts.","Atlanta","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","Forsyth & Luckie Sts., Atlanta, GA",-84.1435136,34.2358502,"forsyth county, ga, usa","Geocoded"
58,"Prince George","","114 6th St. NE","Atlanta","GA","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:28am","1965","114 6th St. NE, Atlanta, GA",-84.3833125,33.7772814,"114 6th st ne, atlanta, ga 30308, usa","Geocoded"
59,"Rebel Room","","1001 Green St.","Augusta","GA","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","1001 Green St., Augusta, GA",-81.9706552,33.4752042,"1001 greene st, augusta, ga 30901, usa","Geocoded"
60,"Checkmate","","1305 1st Ave","Columbus","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","1305 1st Ave, Columbus, GA",-84.9922219,32.470876,"1305 1st ave, columbus, ga 31901, usa","Geocoded"
61,"Ann's Tic Toc","","408 Broadway","Macon","GA","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","408 Broadway, Macon, GA",-83.6242488,32.8359384,"408 broadway, macon, ga 31201, usa","Geocoded"
62,"Colonial Gardens","","115 Abercorn","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","115 Abercorn, Savannah, GA",-81.0899202,32.0778447,"115 abercorn st, savannah, ga 31401, usa","Geocoded"
63,"De Soto Hotel Bar","","15 E Liberty","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","15 E Liberty, Savannah, GA",-81.0929972,32.0740555,"15 e liberty, savannah, ga 31401, usa","Geocoded"
64,"Pirate's Cove","","82 E Broad","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","82 E Broad, Savannah, GA",-81.0842894,32.0770012,"82 e broad st, savannah, ga 31401, usa","Geocoded"
65,"Port Royal","","207 E River St","Savannah","GA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:31am","1965","207 E River St, Savannah, GA",-81.088285,32.080765,"207 e river st, savannah, ga 31401, usa","Geocoded"
66,"Jochebo's","(Also called Downstairs Club--weekends only)","3 L Hwy","Covington","KY","(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","3 L Hwy, Covington, KY",-84.5342106,39.0317298,"493 orphanage rd, covington, ky 41017, usa","Geocoded"
67,"Gilded Cage","","24 E Main St.","Lexington","KY","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","24 E Main St., Lexington, KY",-84.4970827,38.0458352,"24 e main st, lexington, ky 40507, usa","Geocoded"
68,"Downtowner","","320 W. Chestnut","Louisville","KY","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","320 W. Chestnut, Louisville, KY",-85.7569645,38.2486646,"320 w chestnut st, louisville, ky 40202, usa","Geocoded"
69,"Gordon's Golden Horse","","651 S 4th St","Louisville","KY","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","651 S 4th St, Louisville, KY",-85.7577874,38.2471708,"651 s 4th st, louisville, ky 40202, usa","Geocoded"
70,"Bouldevard","","311 N Boulevard","Baton Rouge","LA","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","311 N Boulevard, Baton Rouge, LA",-91.1878383,30.4473675,"311 north blvd, baton rouge, la 70801, usa","Geocoded"
71,"Mirror Room","","3rd & Florida","Baton Rouge","LA","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","3rd & Florida, Baton Rouge, LA",-95.0599667,36.4815993,"1621 n, 3rd st, langley, ok 74350, united states","Geocoded"
72,"Red Devil","","4065 Florida","Baton Rouge","LA","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:42am","1965","4065 Florida, Baton Rouge, LA",-91.1485559,30.4513455,"4065 florida blvd, baton rouge, la 70806, usa","Geocoded"
73,"Bourbon House","","700 Bourbon St","New Orleans","LA","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:40am","8/14/2019 12:48am","1965","700 Bourbon St, New Orleans, LA",-90.0654568,29.9586073,"700 bourbon st, new orleans, la 70116, usa","Geocoded"
74,"Canal St Baths","","417 Canal St","New Orleans","LA","","Baths","",NA,"8/14/2019 12:40am","8/14/2019 12:48am","1965","417 Canal St, New Orleans, LA",-90.0665112,29.9515776,"417 canal st, new orleans, la 70130, usa","Geocoded"
75,"Dixie's Bar of Music","","701 Bourbon","New Orleans","LA","(*) - Very popular","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","701 Bourbon, New Orleans, LA",-90.0656443,29.9587925,"701 bourbon st, new orleans, la 70116, usa","Geocoded"
76,"Galley House","","542 Chartes St","New Orleans","LA","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","542 Chartes St, New Orleans, LA",-90.0646439,29.9564532,"542 chartres st, new orleans, la 70130, usa","Geocoded"
77,"Golden Lantern","","1239 Royal St","New Orleans","LA","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","1239 Royal St, New Orleans, LA",-90.0606455,29.9627248,"1239 royal st, new orleans, la 70116, usa","Geocoded"
78,"Lafittie's","","901 Bourbon St","New Orleans","LA","(*) - Very popular","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","901 Bourbon St, New Orleans, LA",-90.0642121,29.9604081,"901 bourbon st, new orleans, la 70116, usa","Geocoded"
79,"Regent's Row","","740 Burgundy","New Orleans","LA","(*) - Very popular","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","740 Burgundy, New Orleans, LA",-90.0667025,29.9605085,"740 burgundy st, new orleans, la 70116, usa","Geocoded"
80,"Society Page","","119 Exchange","New Orleans","LA","(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","119 Exchange, New Orleans, LA",-90.0683338,29.9534405,"119 exchange pl, new orleans, la 70130, usa","Geocoded"
81,"Wanda's","","608 Iberville","New Orleans","LA","(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","608 Iberville, New Orleans, LA",-90.0677152,29.9535853,"608 iberville st, new orleans, la 70130, usa","Geocoded"
82,"Korner","","800 Louisiana","Shreveport","LA","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/14/2019 12:48am","1965","800 Louisiana, Shreveport, LA",-93.7492024,32.5088129,"800 louisiana ave, shreveport, la 71101, usa","Geocoded"
85,"Rendezvous","(near city bus depot)","Howard St","Biloxi","MS","(*) - Very popular,(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","Howard St, Biloxi, MS",-88.8795296,30.3963632,"howard ave, biloxi, ms 39530, usa","Geocoded"
89,"Wagon Wheel","","102 S Farish","Jackson","MS","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","102 S Farish, Jackson, MS",-90.1885246,32.3001096,"102 s farish st, jackson, ms 39201, usa","Geocoded"
90,"Tempo","","159-B E Franklin St","Chapel Hill","NC","(*) - Very popular","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","159-B E Franklin St, Chapel Hill, NC",-79.0538903,35.9141305,"159 e franklin st, chapel hill, nc 27514, usa","Geocoded"
91,"Hoot Mon","","1427 E. 4th","Charlotte","NC","""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant","",NA,"8/14/2019 12:41am","8/14/2019 1:02am","1965","1427 E. 4th, Charlotte, NC",-80.828957,35.214214,"1427 e 4th st, charlotte, nc 28204, usa","Geocoded"
92,"Sheraton-Barringer Hotel Bar","","426 N Tyson","Charlotte","NC","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","426 N Tyson, Charlotte, NC",-80.8699871,35.1886147,"426 tyson st, charlotte, nc 28209, usa","Geocoded"
93,"Dukes Tavern","Jack Tar Hotel","Corcoran & Chapel","Durham","NC","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","Corcoran & Chapel, Durham, NC",-73.9793864,40.7850815,"2253 broadway, new york, ny 10024, usa","Geocoded"
94,"Cadillac Lounge","","334 Gillespie","Fayetteville","NC","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","334 Gillespie, Fayetteville, NC",-78.880463,35.047109,"334 gillespie st, fayetteville, nc 28301, usa","Geocoded"
95,"Andrew Johnson Hotel Bar","","100 W Martin St","Raleigh","NC","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","100 W Martin St, Raleigh, NC",-78.6402554,35.7769699,"100 w martin st, raleigh, nc 27601, usa","Geocoded"
97,"Rainbow","","102 Market","Charleston","SC","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","102 Market, Charleston, SC",-79.9301531,32.7808491,"102 s market st, charleston, sc 29401, usa","Geocoded"
98,"Wagon Wheel","","336 King St","Charleston","SC","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","336 King St, Charleston, SC",-79.935163,32.7845789,"336 king st, charleston, sc 29401, usa","Geocoded"
99,"The Lounge","","1103 Lady","Columbia","SC","","Bars/Clubs","",NA,"8/14/2019 12:41am","8/18/2019 11:50pm","1965","1103 Lady, Columbia, SC",-81.0355423,34.0023869,"1103 lady st, columbia, sc 29201, usa","Geocoded"
100,"Pizza Palace","","3201 Brainerd Rd.","Chattanooga","TN","(*) - Very popular","Restaurant","",NA,"8/14/2019 12:41am","8/18/2019 11:49pm","1965","3201 Brainerd Rd., Chattanooga, TN",-85.2545201,35.0277113,"3201 brainerd rd, chattanooga, tn 37411, usa","Geocoded"
101,"Rathskeller","","618 Cherry","Chattanooga","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:50pm","1965","618 Cherry, Chattanooga, TN",-85.3080959,35.0494547,"618 cherry st, chattanooga, tn 37402, usa","Geocoded"
102,"Read House Tavern","","9th and Broad","Chattanooga","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:51pm","1965","9th and Broad, Chattanooga, TN",-85.3110646,35.0558229,"1 broad st, chattanooga, tn 37402, usa","Geocoded"
103,"New Southern Hotel Bar","","Baltimore & Liberty","Jackson","TN","","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:50pm","1965","Baltimore & Liberty, Jackson, TN",-76.6121893,39.2903848,"baltimore, md, usa","Geocoded"
104,"Andrew Johnson Hotel Bar","","918 Gay St Sw.","Knoxville","TN","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/14/2019 1:03am","8/18/2019 11:52pm","1965","918 Gay St Sw., Knoxville, TN",-83.9155611,35.9613189,"918 s gay st, knoxville, tn 37902, usa","Geocoded"
